filename,true_class,predicted_class,feature_set,iteration
1898_MoellerO_MillionaerensPilegrimsfaerd,O,CANON,embeddings,87
1895_Broendsted_FaedrenesSynd,O,CANON,embeddings,87
1888_Paulsen_FruCecilia,O,CANON,embeddings,88
1899_LieJ_FasteForland,O,CANON,embeddings,88
1897_OestergaardK_AntonArdenOgMoellerensJohanne,O,CANON,embeddings,88
1886_JoergensenM_Livsnydelse,O,CANON,embeddings,88
1892_MadsenO_GladeUngdom,O,CANON,embeddings,89
1899_HenningsenA_Glansbilledet,O,CANON,embeddings,89
1898_Schjoerring_TilLykkensLand,O,CANON,embeddings,89
1892_Michaelis_Vanemennesker,O,CANON,embeddings,90
1893_NielsenZ_Kulsviere,O,CANON,embeddings,90
1890_MoellerN_Haendelser,O,CANON,embeddings,90
1878_Rosenfeld_HvemAfDeTo,O,CANON,embeddings,91
1896_Nilssen_Nemesis,O,CANON,embeddings,92
1897_EwaldC_JamesSingletonsStoreUdenlandsrejse,O,CANON,embeddings,92
1898_KnudsenJ_EtGjensyn,O,CANON,embeddings,92
1892_MadsenOgHenriques_VedHoejenMast,O,CANON,embeddings,93
1884_Paulsen_EnDigtersHustru,O,CANON,embeddings,93
1888_Vedel_Stavnsbaand,O,CANON,embeddings,93
1898_MoellerO_MillionaerensPilegrimsfaerd,O,CANON,embeddings,93
1877_Hjelm_KoebenhavnskDemimondeLiv,O,CANON,embeddings,94
1894_MadsenO_Inga,O,CANON,embeddings,94
1882_HansenP_KristianKjoebenhavner,O,CANON,embeddings,95
1897_NielsenA_Skolemesterliv,O,CANON,embeddings,95
1895_Mariager_Sparta,O,CANON,embeddings,95
1885_Moenster_Agnete,O,CANON,embeddings,95
1897_NielsenZ_Mystisk,O,CANON,embeddings,96
1894_WormMueller_FireDage,O,CANON,embeddings,97
1895_Broendsted_FaedrenesSynd,O,CANON,embeddings,97
1899_Kirkegaard_Provstinden,O,CANON,embeddings,97
1890_LieE_MedBlyanten,O,CANON,embeddings,98
1898_BenzonP_Landsmaend,O,CANON,embeddings,98
1896_Egeberg_SejrOgFald,O,CANON,embeddings,98
1871_Bergsoee_ISabinerbjergene_1,O,CANON,embeddings,98
1885_Dahl_EnBergmandsfamilie,O,CANON,embeddings,98
1889_ChristiansenE_Joppe,O,CANON,embeddings,99
1892_NielsenO_Roedegaardsdrengen,O,CANON,embeddings,99
1875_Boegh_JonasTvaermosesAergrelser,O,CANON,embeddings,99
1897_Alsted_Ly,O,CANON,embeddings,99
1872_Heilmann_EnSangerinde,O,CANON,embeddings,100
1890_Finne_DoktorWangsBoern,O,CANON,embeddings,100
1881_Markman_Studenter,O,CANON,embeddings,101
1894_Jespersen_Kursuskammerater,O,CANON,embeddings,101
1892_PetersenM_KuedePlanter,O,CANON,embeddings,101
1891_Markman_PovlBreinum,O,CANON,embeddings,102
1887_Vandel_Dobbeltgaengere,O,CANON,embeddings,102
1886_HansenJ_VedHoejvande,O,CANON,embeddings,103
1889_NielsenZ_Maagen,O,CANON,embeddings,103
1893_Brummer_EnKamp,O,CANON,embeddings,104
1886_HansenJ_VedHoejvande,O,CANON,embeddings,104
1898_KragT_FruBeatesHus,O,CANON,embeddings,104
1887_Vandel_Dobbeltgaengere,O,CANON,embeddings,104
1885_Mariager_MagthaverenPaaRhodos,O,CANON,embeddings,105
1884_Paulsen_EnDigtersHustru,O,CANON,embeddings,105
1897_Leopold_PrinsesseCharlotte,O,CANON,embeddings,105
1880_Fibiger_Askepot,O,CANON,embeddings,105
1894_Jespersen_Kursuskammerater,O,CANON,embeddings,105
1899_Stuckenberg_Asmadaeus,O,CANON,embeddings,106
1895_Mariager_Sparta,O,CANON,embeddings,106
1894_Aagaard_UnderligeFyre,O,CANON,embeddings,106
1889_Vandel_Kraemmerliv,O,CANON,embeddings,107
1893_Betzonich_PeterJensen,O,CANON,embeddings,107
1898_AndersenT_Askepot,O,CANON,embeddings,107
1893_AndersenT_EnArbejdersDoetre,O,CANON,embeddings,107
1894_Skovbo_FradengamleFaergegaard,O,CANON,embeddings,108
1876_Hjelm_OerkenensSlange_2,O,CANON,embeddings,108
1899_LundM_EnFremmedFugl,O,CANON,embeddings,109
1882_Winterhjelm_TilStatsraadstaburetten,O,CANON,embeddings,109
1875_Laertes_NogleMaanederIKoebenhavn,O,CANON,embeddings,110
1880_Paulsen_Margherita,O,CANON,embeddings,110
1897_Bergstroem_BrogedeBilleder,O,CANON,embeddings,110
1879_FT_OlietrykmandensFrieri,O,CANON,embeddings,110
1886_Gloeersen_Dagligdags,O,CANON,embeddings,110
1892_Michaelis_Vanemennesker,O,CANON,embeddings,111
1890_Finne_DoktorWangsBoern,O,CANON,embeddings,111
1879_Kieler_AndreFraKautokejno,O,CANON,embeddings,111
1873_Wolle_BrudstykkerAfEnJydskBorgermandsDagboegerFor1848,O,CANON,embeddings,111
1899_MadsenJ_KomtesseFlory,O,CANON,embeddings,112
1890_JoergensenJ_EnFremmed,O,CANON,embeddings,112
1892_MadsenOgHenriques_Tjenestefolk,O,CANON,embeddings,112
1890_MoellerN_Haendelser,O,CANON,embeddings,112
1890_Schoeyen_DensvenskeNattergal,O,CANON,embeddings,113
1883_LieJ_Livsslaven,O,CANON,embeddings,113
1895_Bon_Fristelser,O,CANON,embeddings,113
1876_Hjelm_OerkenensSlange_1,O,CANON,embeddings,113
1898_Gnudtzmann_Gadespejlet,O,CANON,embeddings,114
1883_LieJ_Livsslaven,O,CANON,embeddings,114
1883_NielsenZ_GamleVaner,O,CANON,embeddings,115
1898_Broendsted_Borretaarn,O,CANON,embeddings,115
1885_Moenster_Agnete,O,CANON,embeddings,115
1890_Valseth_HotelHaukenaes,O,CANON,embeddings,116
1891_Markman_PovlBreinum,O,CANON,embeddings,116
1887_HansenJ_KarenHav,O,CANON,embeddings,116
1895_MoellerN_Koglerier,O,CANON,embeddings,116
1895_MoellerC_EfterLevendeModel,O,CANON,embeddings,117
1899_Kaarsberg_TrangeStier,O,CANON,embeddings,117
1891_Markman_PovlBreinum,O,CANON,embeddings,117
1886_Gloeersen_Dagligdags,O,CANON,embeddings,118
1897_MoellerO_Overmennesker,O,CANON,embeddings,118
1880_Reinhard_IldOgAske,O,CANON,embeddings,118
1896_Jespersen_Ungdom,O,CANON,embeddings,119
1885_Mariager_MagthaverenPaaRhodos,O,CANON,embeddings,119
1895_LieM_EnDroemmersBog,O,CANON,embeddings,119
1888_Colditz_Kjaerka,O,CANON,embeddings,119
1887_Steenbuch_RektorLassen,O,CANON,embeddings,119
1891_Reiserer_EnSergent,O,CANON,embeddings,121
1892_MadsenO_GladeUngdom,O,CANON,embeddings,121
1898_Wied_Slaegten,O,CANON,embeddings,121
1898_Lundgaard_FroekenToes,O,CANON,embeddings,121
1886_Moenster_IBraendingen,O,CANON,embeddings,121
1892_Secher_HoerupsValgkredsAar1902,O,CANON,embeddings,121
1896_AndersenT_Tvillingesoestrene,O,CANON,embeddings,122
1892_MadsenOgHenriques_Tjenestefolk,O,CANON,embeddings,122
1875_Hjelm_KoebenhavnskZigeunerliv,O,CANON,embeddings,122
1896_MoellerI_TabteToejler,O,CANON,embeddings,122
1871_Wolle_FraMinFoerstePraxis,O,CANON,embeddings,123
1877_Gloeersen_Sigurd,O,CANON,embeddings,123
1891_AndersenFO_EtBrud,O,CANON,embeddings,123
1886_Winterhjelm_FarvelHansen,O,CANON,embeddings,124
1896_Jespersen_Ungdom,O,CANON,embeddings,125
1873_Wolle_BrudstykkerAfEnJydskBorgermandsDagboegerFor1848,O,CANON,embeddings,125
1895_Birck_Hellighed,O,CANON,embeddings,126
1883_NielsenJ_Bedstemoster,O,CANON,embeddings,126
1896_ClaussenS_AntoniusiParis,O,CANON,embeddings,126
1882_PaulsenJ_FamilienPehrsen,O,CANON,embeddings,126
1894_Bergstroem_Vendepunkter,O,CANON,embeddings,126
1892_MoellerO_LysOverLandet!,O,CANON,embeddings,126
1899_JensenH_Spoegeri,O,CANON,embeddings,126
1877_Hjelm_KoebenhavnskDemimondeLiv,O,CANON,embeddings,127
1899_Wied_LivsensOndskab,O,CANON,embeddings,127
1870_Lange_AaenOgHavet,O,CANON,embeddings,127
1886_Winterhjelm_FarvelHansen,O,CANON,embeddings,128
1880_Rosing_EnRomantiker,O,CANON,embeddings,128
1894_Kieler_HanFaldtVedHelgoland,O,CANON,embeddings,129
1894_BruunL_SvendFelding,O,CANON,embeddings,129
1899_HenningsenA_Stroemmen,O,CANON,embeddings,130
1878_HenningsenE_MathildeOgHendesVenner,O,CANON,embeddings,130
1881_NielsenZ_NyeTider,O,CANON,embeddings,130
